Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price,Brand,screen_inches,screen_res,screen_touch,CPU,disk_hdd,disk_ssd,disk_flash,disk_emmc,GPU,OS,is_discounted,Price_int,Shop
"ASUS TUF Gaming FX505DT-AL087 15,6"" 120Hz AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX 1650 Grafika","15,6 cala,  1920 x 1080 pikseli 120 Hz","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon RX Vega 8,,3 199 z?,0,asus,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,none,0,3199,eurortvagd
"Lenovo Ideapad 330 15,6'' AMD A9-9425 - 8GB RAM - 256GB Dysk - Win10","15,6 cala,  1920 x 1080 pikseli","AMD A-Series 9425 3,1 - 3,7 GHz",8,256 GB SSD,AMD Radeon R5,Windows 10 Home Edition,1 599 z?,0,lenovo,15.6,1920x1080,0,other,0,256,0,0,radeon r,windows,0,1599,eurortvagd
"Lenovo IdeaPad S145-14IIL 14"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10","14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 499 z?,0,lenovo,14.0,1920x1080,0,i5,0,512,0,0,integrated,windows,0,2499,eurortvagd
"ASUS TUF Gaming FX505DY-BQ024T 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - RX560X Grafika - Win 10","15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8,512 GB SSD,AMD Radeon RX 560X + AMD Radeon RX Vega 8,Windows 10 Home Edition,2 999 z?,0,asus,15.6,1920x1080,0,ryzen 5,0,512,0,0,radeon rx,windows,0,2999,eurortvagd
"HP Pavilion Gaming 15-ec0004nw 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX1050 Grafika","15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8,512 GB SSD,nVidia® GeForce GTX 1050 + AMD Radeon Vega 8,,2 699 z?,0,hp,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,none,0,2699,eurortvagd
"Acer Aspire 3 A315-55G-53EM 15,6"" Intel® Core™ i5-10210U - 8GB RAM - 1TB SSD Dysk - MX230 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8,1 TB SSD,nVidia® GeForce MX 230 + Intel UHD Graphics,Windows 10 Home Edition,2 899 z?,0,acer,15.6,1920x1080,0,i5,0,1024,0,0,geforce mx,windows,0,2899,eurortvagd
"HP 15s-eq0019nw 15,6"" AMD Ryzen 7 3700U - 8GB RAM - 512GB Dysk - Win10","15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",8,512 GB SSD,AMD Radeon Vega 10,Windows 10 Home Edition,2 699 z?,0,hp,15.6,1920x1080,0,ryzen 7,0,512,0,0,radeon vega,windows,0,2699,eurortvagd
"HP Gaming Pavilion 15-CX0073NW 15,6"" Intel® Core™ i5-8300H - 8GB RAM - 256GB Dysk - GTX1050Ti Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8300H 2,3 - 4,0 GHz",8,256 GB SSD,nVidia® GeForce GTX 1050 Ti + Intel UHD Graphics 630,Windows 10 Home Edition,2 999 z?,0,hp,15.6,1920x1080,0,i5,0,256,0,0,geforce gtx,windows,0,2999,eurortvagd
Dell Inspiron 5482 14'' Intel® Core™ i5-8265U - 8GB RAM - 256GB SSD Dysk - Win10,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8265U 1,6 - 3,9 GHz",8,256 GB SSD,Intel® HD Graphics 620,Windows 10 Home Edition,2 799 z?,0,dell,14.0,1920x1080,0,i5,0,256,0,0,integrated,windows,0,2799,eurortvagd
"Acer Swift 1 SF114 NX.GXUEP.015 14"" Intel® Pentium™ N5000 - 4GB RAM - 128GB Dysk - Win10 S","14 cali,  1920 x 1080 pikseli","Intel® Pentium® N5000 1,1 - 2,7 GHz",4,128 GB SSD,Intel® UHD Graphics 605,Windows 10 S,1 698 z?,0,acer,14.0,1920x1080,0,pentium,0,128,0,0,integrated,windows,0,1698,eurortvagd
