Title,Brand,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price
"HP 14-dk0042nw 14"" AMD A6-9225 - 4GB RAM - 128GB Dysk - Win10S",HP,"14 cali,  1366 x 768 pikseli","AMD A-Series 9225 2,6 - 3,0 GHz",4 GB RAM,128 GB SSD,AMD Radeon R4,Windows 10 S,1 499 z?
"Acer Nitro 5 15,6""120Hz Intel® Core™ i5-9300H - 8GB RAM - 512GB Dysk - RTX2060 Grafika - Win10",Acer,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i5 9gen 9300H 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce RTX2060 + Intel UHD Graphics 630,Windows 10 Home Edition,4 749 z?
"Acer Swift 3 SF314-42-R275 14"" AMD Ryzen 5 4500U - 8GB RAM - 512GB Dysk - Win10",Acer,"14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 5 4500U 2,3 - 4,0 GHz",8 GB RAM,512 GB SSD,AMD Radeon Graphics,Windows 10 Home Edition,2 999 z?
"Dell Inspiron 5505-6162 15,6'' AMD Ryzen 5 4500U - 8GB RAM - 256GB Dysk - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 4500U 2,3 - 4,0 GHz",8 GB RAM,256 GB SSD,AMD Radeon Graphics,Windows 10 Home Edition,3 299 z?
"HP Pavilion Gaming 15-ec0020nw 15,6"" AMD Ryzen 5 3550H - 16GB RAM - 512GB Dysk - GTX1650 Grafika - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Vega 8,Windows 10 Home Edition,3 699 z?
ASUS ZenBook 14 UX433FAC-A5111T 14'' Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - Win10,ASUS,"14 cali,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 899 z?
"Lenovo IdeaPad Gaming 3 15IMH05 15,6"" 60Hz Intel® Core™ i5-10300H - 8GB RAM - 512GB Dysk - GXT1650 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli 60 Hz","Intel® Core™ i5 10gen 10300H 2,5 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics,,3 499 z?
"Lenovo Legion 5 15IMH05 15,6"" 144Hz Intel® Core™ i5-10300H - 8GB RAM - 256GB Dysk - GXT1650Ti Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli 144 Hz","Intel® Core™ i5 10gen 10300H 2,5 - 4,5 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce GTX 1650 Ti + Intel UHD Graphics,,4 049 z?
"Acer Nitro 5 AN515-54-758L 15,6"" 120Hz Intel® Core™ i7-9750H - 8GB RAM - 256GB Dysk - RTX2060 Grafika",Acer,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce RTX 2060 + Intel UHD Graphics 630,,4 699 z?
"Lenovo Ideapad L340-15IRH Gaming 15,6"" Intel® Core™ i5-9300HF - 16GB RAM - 256GB Dysk - GTX1650 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",16 GB RAM,256 GB SSD,nVidia® GeForce GTX1650,,3 499 z?
"ASUS X509JA-BQ241T 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10",ASUS,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 999 z?
"Lenovo Legion Y540-15IRH 15,6"" Intel® Core™ i5-9300HF - 16GB RAM - 512GB Dysk - RTX2060 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce RTX 2060,,5 399 z?
"HP OMEN 15-en0002nw 15,6"" 144Hz AMD Ryzen 5 4600H - 16GB RAM - 512GB Dysk - GTX1660 Ti Grafika - Win10",HP,"15,6 cala,  1920 x 1080 pikseli 144 Hz","AMD Ryzen™ 5 4600H 3,0 - 4,0 GHz",16 GB RAM,512 GB SSD,nVidia® GeForce GTX 1660 Ti + AMD Radeon Vega 8,Windows 10 Home Edition,5 699 z?
