Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price
Laptop LENOVO Legion Y540-15IRH i7-9750HF 8GB 512GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-9750HF,8,512 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,5 599
Laptop LENOVO Yoga C640-13IML i5-10210U 8GB 512GB SSD W10,"13.3"", 1920 x 1080px, Dotykowy",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,4 299
Laptop DELL Inspiron 15 5505 Ryzen 5 4500U 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 4500U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,,3 299
Laptop LG Gram 15Z90N-V i5-1053G7 8GB 256GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G7,8,256 GB SSD,Intel Iris Plus Graphics,Windows 10 Home,6 199,5 699
Laptop ACER Chromebook CB314-1H-P43Q N5000 4GB 64GB eMMC Chrome,"14"", 1920 x 1080px",Intel Pentium N5000,4,64 GB Flash,Intel UHD Graphics 605,Chrome OS,,1 599
Laptop DELL Inspiron 14 5491 i7-10510U 8GB 512GB SSD W10,"14"", 1920 x 1080px, Dotykowy",Intel Core i7-10510U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,,4 499
Laptop ACER Aspire 5 A515-44 Ryzen 5 4500U 4GB 128GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 5 4500U,4,128 GB SSD,AMD Radeon Graphics,Windows 10 Home,,2 549
Laptop MSI Creator 15M i7-10750H 16GB 512GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,7 649,6 999
Laptop LENOVO IdeaPad C340-14API Ryzen 3 3200U 8GB 256GB SSD W10,"14"", 1920 x 1080px",AMD Ryzen 3 3200U,8,256 GB SSD,AMD Radeon Vega 3,Windows 10 Home,2 999,2 899
Laptop HUAWEI MateBook X Pro i5-10210U 16GB 512GB SSD GF-MX250 W10P,"13.9"", 3000 x 2000px",Intel Core i5-10210U,16,512 GB SSD,NVIDIA GeForce MX250,Windows 10 Professional,,6 999
